Name,Complexity,MigrationEffort,Priority,SDK2Patterns,SDK3Patterns,Notes
christmas_lights,SDK3,2-4h,High,"","setCapabilityValue;getCapabilityValue","Already contains SDK3 patterns - easy migration"
curtain_module,Mixed,8-16h,Medium,"v2","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
curtain_module_2_gang,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
curtain_motor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue;getCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
dimmable_led_strip,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
dimmable_recessed_led,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
dimmer_1_gang,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
dimmer_1_gang_2,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
dimmer_1_gang_tuya,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue;getCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
dimmer_2_gang,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
dimmer_2_gang_tuya,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue;getCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
doorwindowsensor,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
doorwindowsensor_2,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
doorwindowsensor_3,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
doorwindowsensor_4,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
double_power_point,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
double_power_point_2,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
example_smartplug,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
fingerbot,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
flood_sensor,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
handheld_remote_4_buttons,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
lcdtemphumidluxsensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
lcdtemphumidsensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
lcdtemphumidsensor_2,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
lcdtemphumidsensor_3,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
light_rgb_TZ3000_dbou1ap4,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
motion_sensor,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
motion_sensor_2,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
multi_sensor,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
outdoor_2_socket,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
outdoor_plug,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
pirsensor,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
pir_sensor_2,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
plug,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
plug_blitzwolf_TZ3000_mraovvmm,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
radar_sensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
radar_sensor_2,Mixed,8-16h,Medium,"v2;Event listeners (.on);Trigger events","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
radar_sensor_ceiling,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
rain_sensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
relay_board_1_channel,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
relay_board_2_channel,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
relay_board_4_channel,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
remote_control,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_bulb_E14,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_bulb_E27,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_ceiling_led_light,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_floor_led_light,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_led_light_bar,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_led_strip,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_led_strip_controller,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_mood_light,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_spot_GardenLight,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_spot_GU10,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
rgb_wall_led_light,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
sensor_temp_TUYATEC-g3gl6cgy,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
siren,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
sirentemphumidsensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
slim_motion_sensor,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
smartplug,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
smartplug_2_socket,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
smartPlug_DinRail,SDK2,4-8h,Medium,"v2","","Pure SDK2 driver - standard migration required"
smart_air_detection_box,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
smart_button_switch,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
smart_door_window_sensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
smart_garden_irrigation_control,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
smart_knob_switch,Mixed,8-16h,Medium,"Trigger events","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
smart_motion_sensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
smart_plug,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
smart_remote_1_button,Mixed,8-16h,Medium,"Event listeners (.on);Trigger events","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
smart_remote_1_button_2,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
smart_remote_4_buttons,SDK2,4-8h,Medium,"Trigger events","","Pure SDK2 driver - standard migration required"
smart_switch,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
smoke_sensor,SDK3,2-4h,High,"","setCapabilityValue","Already contains SDK3 patterns - easy migration"
smoke_sensor2,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
smoke_sensor3,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
socket_power_strip,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
socket_power_strip_four,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
socket_power_strip_four_three,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
socket_power_strip_four_two,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
soilsensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
soilsensor_2,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
switch_1_gang,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
switch_1_gang_metering,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
switch_2_gang,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
switch_2_gang_metering,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
switch_3_gang,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
switch_4_gang_metering,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
temphumidsensor,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
temphumidsensor2,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
temphumidsensor3,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
temphumidsensor4,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
temphumidsensor5,Mixed,8-16h,Medium,"Event listeners (.on)","setCapabilityValue","Contains both SDK2 and SDK3 patterns - complex migration required"
THB2,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
TS0001,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
TS004F,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
TS011F,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
TS0201,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
TS0207,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
TS0601,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
TS130F,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
tunable_bulb_E14,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
tunable_bulb_E27,Unknown,Unknown,Low,"","","No clear SDK patterns detected - manual review required"
