"ManufacturerId","Brand","ProductName","ProductId","Category","Description","Features","Driver","PowerSource","Region","Verified","BatteryLife","Retailer","Technology","MaxLoad","Certifications"
"_TZ3000_12sxjap4","YANDHI","RGB Smart Bulb E27","TS0505B","Smart Lighting","YANDHI RGB+CCT Smart Bulb with full color spectrum control and tunable white temperature","16 million colors | Adjustable color temperature (2700K-6500K) | Dimmable brightness | Energy efficient LED | Zigbee 3.0 protocol","bulb_color_rgbcct_ac","AC Mains","Global","True",,,,,""
"_TZ3000_5bsf8vaj","Generic Tuya","RGB Wall Light","TS0505A","Smart Lighting","Wall-mounted RGB LED light with ambient lighting capabilities","RGB color control | Tunable white | Wall mounting design | Scene modes | Timer functions","bulb_color_rgbcct_ac","AC Mains","Global","True",,,,,""
"_TZ3000_9cpuaca6","LIVARNO LUX","RGB Mood Light","TS0505A","Smart Lighting","LIVARNO LUX (Lidl) RGB mood light for ambient room lighting","RGB + warm/cool white | Portable design | Multiple scene modes | Touch controls | Lidl exclusive product","bulb_color_rgbcct_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_h1jnz6l8","LIVARNO LUX","RGB Garden Spot Light","TS0505A","Smart Lighting","Outdoor RGB spot light for garden and landscape lighting","Weatherproof design (IP44+) | RGB color changing | Ground spike or wall mount | Energy efficient | Suitable for outdoor use","bulb_color_rgbcct_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_hlijwsai","Generic Tuya","RGB Smart Bulb","TS0505A","Smart Lighting","Standard RGB+CCT smart bulb with full color control","E27/E26 socket | RGB + white | 9W-12W power | App control | Voice assistant compatible","bulb_color_rgbcct_ac","AC Mains","Global","True",,,,,""
"_TZ3000_kdpxju99","LIVARNO LUX","RGB Spot GU10","TS0505A","Smart Lighting","GU10 RGB spot light for recessed and track lighting","GU10 socket fitting | RGB + tunable white | Directional lighting | Compact design | Easy retrofit","bulb_color_rgbcct_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_keabpigv","Woox","Smart RGB Bulb E27","TS0505A","Smart Lighting","Woox branded RGB smart bulb with premium features","Premium build quality | Smooth color transitions | Music sync mode | Scheduling | Group control","bulb_color_rgbcct_ac","AC Mains","Europe","True",,,,,""
"_TZ3000_q50zhdsc","Generic Tuya","RGB Smart Bulb","TS0505B","Smart Lighting","Enhanced RGB bulb with improved color rendering","High CRI (>80) | Smooth dimming | Long lifespan (25000h) | Low power consumption | Fast response time","bulb_color_rgbcct_ac","AC Mains","Global","True",,,,,""
"_TZ3000_qd7hej8u","LIVARNO LUX","RGB Smart Bulb E27","TS0505B","Smart Lighting","LIVARNO LUX RGB bulb with enhanced features","E27 socket | 806 lumens brightness | Energy class A+ | App and voice control | Affordable pricing","bulb_color_rgbcct_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_utagpnzs","Generic Tuya","RGB Wall LED Light","TS0505A","Smart Lighting","Wall-mounted RGB LED for decorative lighting","Slim profile design | Multiple mounting options | Scene presets | Remote control support | Low heat emission","bulb_color_rgbcct_ac","AC Mains","Global","True",,,,,""
"_TZ3210_iystcadi","LIVARNO LUX","RGB LED Light Bar","TS0505B","Smart Lighting","LED light bar for accent and mood lighting","Linear design | Linkable units | Adhesive mounting | USB or AC powered | Music reactive mode","bulb_color_rgbcct_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3210_mja6r5ix","Generic Tuya","RGB Smart Bulb","TS0505B","Smart Lighting","Modern RGB bulb with latest Zigbee 3.0 features","Latest chipset | Fast pairing | Stable connection | OTA updates support | Extended range","bulb_color_rgbcct_ac","AC Mains","Global","True",,,,,""
"_TZ3210_r0xgkft5","LIVARNO LUX","RGB Mood Light","TS0505B","Smart Lighting","Updated mood light with improved color accuracy","Enhanced RGB chip | Better color mixing | Touch-sensitive controls | Portable battery option | Decorative design","bulb_color_rgbcct_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_49qchf10","LIVARNO LUX","Tunable White Bulb E27","TS0502A","Smart Lighting","Tunable white temperature bulb from warm to cool","2700K-6500K range | No RGB (white only) | Energy efficient | Circadian rhythm support | Reading and relaxation modes","bulb_white_ambiance_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_8uaoilu9","LIVARNO LUX","RGB Floor LED Light","TS0502A","Smart Lighting","Floor standing LED light with color temperature control","Floor lamp design | Adjustable height | Tunable white | Modern aesthetics | Stable base","bulb_white_ambiance_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_el5kt5im","LIVARNO LUX","Tunable White Spot GU10","TS0502A","Smart Lighting","GU10 spot with adjustable color temperature","GU10 fitting | Warm to cool white | Directional beam | Retrofit compatible | Low profile","bulb_white_ambiance_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_oborybow","LIVARNO LUX","Tunable White Bulb E14","TS0502A","Smart Lighting","Small Edison screw tunable white bulb","E14 candle socket | Compact size | Tunable white temperature | Perfect for chandeliers | Dimmable","bulb_white_ambiance_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3210_zdrhqmo0","Generic Tuya","Dimmable Recessed LED","TS0502B","Smart Lighting","Recessed ceiling LED with dimming capability","Recessed installation | Dimmable white | Slim profile | Fire-rated option | Long lifespan","bulb_white_ac","AC Mains","Global","True",,,,,""
"_TZ3000_dl4pxp1r","Generic Tuya","RGB LED Strip Controller","TS0503A","Smart Lighting","Controller for RGB LED strips","12V/24V compatible | Max 144W output | Multiple strip support | Scene modes | Music sync","led_strip_controller_ac","AC Mains","Global","True",,,,,""
"_TZ3000_gek6snaj","LIVARNO LUX","RGB LED Light Bar","TS0505A","Smart Lighting","LED light bar for TV backlighting and ambient lighting","Flexible mounting | Sync with TV | Multiple segments | USB powered option | Adhesive backing","led_strip_controller_ac","AC Mains","Europe (Lidl)","True",,"Lidl",,,""
"_TZ3000_i8l0nqdu","Generic Tuya","RGB LED Strip Controller","TS0503B","Smart Lighting","Enhanced RGB strip controller with better features","Higher power output | Better heat management | Smooth transitions | Multiple zones | Timer functions","led_strip_controller_ac","AC Mains","Global","True",,,,,""
"_TZ3000_obacbukl","Generic Tuya","RGB LED Controller","TS0503A","Smart Lighting","Standard RGB controller for LED strips","3 channel output | PWM dimming | Compact size | Easy installation | Remote compatible","led_strip_controller_ac","AC Mains","Global","True",,,,,""
"_TZ3000_qqjaziws","Generic Tuya","RGBW LED Strip Controller","TS0505B","Smart Lighting","Advanced RGBW controller with white channel","4 channel RGBW | Independent white control | High power capacity | Scene presets | API support","led_strip_controller_ac","AC Mains","Global","True",,,,,""
