ProductID,DriverCount,IsGeneric,Drivers,ManufacturerNames
"TS0001",48,YES,"air_quality_comprehensive; light_controller_outdoor; module_mini; module_mini_switch; shutter_roller_switch; switch_basic_1gang; switch_basic_2gang; switch_basic_5gang; switch_generic_1gang; switch_generic_3gang; switch_hybrid_1gang; switch_hybrid_2gang; switch_hybrid_2gang_alt; switch_hybrid_3gang; switch_hybrid_4gang; switch_internal_1gang; switch_remote; switch_smart_1gang; switch_smart_3gang; switch_smart_4gang; switch_touch_1gang; switch_touch_1gang_basic; switch_touch_2gang; switch_touch_3gang; switch_touch_3gang_basic; switch_touch_4gang; switch_wall_1gang; switch_wall_1gang_basic; switch_wall_2gang; switch_wall_2gang_basic; switch_wall_2gang_smart; switch_wall_3gang; switch_wall_3gang_basic; switch_wall_4gang; switch_wall_4gang_basic; switch_wall_4gang_smart; switch_wall_5gang; switch_wall_6gang; switch_wall_6gang_basic; switch_wall_6gang_smart; switch_wall_8gang_smart; switch_wireless; switch_wireless_1gang; switch_wireless_2gang; switch_wireless_4button_alt; switch_wireless_4gang; switch_wireless_5button; switch_wireless_6gang","_TZ3000_01gpyda5; _TZ3000_0dumfk2z; _TZ3000_0ghwhypc; _TZ3000_0ht8dnxj; _TZ3000_0s1izerx; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; _TZ3000_kmh5qpmb; _TZ3000_tgddllx4; _TZ3000_vmpbygs5; lumi.ctrl_ln1; _TZ3000_4fjiwweb; _TZ3000_4js9lo5d; _TZ3000_fisb3ajo; _TZ3000_ji4araar; _TZ3000_kdi2o9m6; _TZ3000_lupfd8zu; _TZ3000_lvhy15ix; _TZ3000_o005nuxx; _TZ3000_odzoiovu; _TZ3000_qzjcsmar; _TZ3000_rk2yzt0u; _TZ3000_skueekg3; _TZ3000_vjhcenzw; _TZ3000_yw8z2axp; _TZ3000_zmy1waw6; _TZ3000_kpatq5pq; _TZ3000_npzfykbs; _TZ3000_mgusv51k; _TZ3000_mdj7kra9; _TZ3000_5ucujjts; _TZ3000_mx3vgyea; _TZ3000_npzfdzhq; _TZ3000_o4cjetlm; _TZ3000_uxuxkcvd; _TZ3000_w0qqde0g; _TZ3000_yujkchbz; _TZ3000_18ejxno0; _TZ3000_4zf0crgo; _TZ3000_l9brjwau; _TZ3000_lwlhprgx; _TZ3000_neo2aqj4; _TZ3000_nPGIPl5D; _TZ3000_ruxexjfz; _TZ3000_zmlunnhy; lumi.ctrl_ln2; _TZ3000_4xfqlgqo; _TZ3000_excgg5kb; _TZ3000_mlswgkc3; _TZ3000_odygigth; _TZ3000_1obwwnmq; _TZ3000_tygpud44; _TZ3000_vzopcetz; _TZ3000_5bpeda8u; _TZ3000_a7ouggvs; _TZ3000_bi6lpsew; _TZ3000_fvh3pjaz; _TZ3000_s0i14ubi; _TZ3000_vp6clf9d; _TZ3000_xabckq1v; _TZ3000_xrqsdxq6; _TZ3000_yj6k7vfo; _TZ3000_adkvzooy; _TZ3000_b3mgfu0d"
"TS0011",47,YES,"air_quality_comprehensive; light_controller_outdoor; module_mini_switch; shutter_roller_switch; switch_basic_1gang; switch_basic_2gang; switch_basic_5gang; switch_generic_1gang; switch_generic_3gang; switch_hybrid_1gang; switch_hybrid_2gang; switch_hybrid_2gang_alt; switch_hybrid_3gang; switch_hybrid_4gang; switch_internal_1gang; switch_remote; switch_smart_1gang; switch_smart_3gang; switch_smart_4gang; switch_touch_1gang; switch_touch_1gang_basic; switch_touch_2gang; switch_touch_3gang; switch_touch_3gang_basic; switch_touch_4gang; switch_wall_1gang; switch_wall_1gang_basic; switch_wall_2gang; switch_wall_2gang_basic; switch_wall_2gang_smart; switch_wall_3gang; switch_wall_3gang_basic; switch_wall_4gang; switch_wall_4gang_basic; switch_wall_4gang_smart; switch_wall_5gang; switch_wall_6gang; switch_wall_6gang_basic; switch_wall_6gang_smart; switch_wall_8gang_smart; switch_wireless; switch_wireless_1gang; switch_wireless_2gang; switch_wireless_4button_alt; switch_wireless_4gang; switch_wireless_5button; switch_wireless_6gang","_TZ3000_01gpyda5; _TZ3000_0dumfk2z; _TZ3000_0ghwhypc; _TZ3000_0ht8dnxj; _TZ3000_0s1izerx; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; _TZ3000_kmh5qpmb; _TZ3000_tgddllx4; _TZ3000_vmpbygs5; lumi.ctrl_ln1; _TZ3000_4fjiwweb; _TZ3000_4js9lo5d; _TZ3000_fisb3ajo; _TZ3000_ji4araar; _TZ3000_kdi2o9m6; _TZ3000_lupfd8zu; _TZ3000_lvhy15ix; _TZ3000_o005nuxx; _TZ3000_odzoiovu; _TZ3000_qzjcsmar; _TZ3000_rk2yzt0u; _TZ3000_skueekg3; _TZ3000_vjhcenzw; _TZ3000_yw8z2axp; _TZ3000_zmy1waw6; _TZ3000_kpatq5pq; _TZ3000_npzfykbs; _TZ3000_mgusv51k; _TZ3000_mdj7kra9; _TZ3000_5ucujjts; _TZ3000_mx3vgyea; _TZ3000_npzfdzhq; _TZ3000_o4cjetlm; _TZ3000_uxuxkcvd; _TZ3000_w0qqde0g; _TZ3000_yujkchbz; _TZ3000_18ejxno0; _TZ3000_4zf0crgo; _TZ3000_l9brjwau; _TZ3000_lwlhprgx; _TZ3000_neo2aqj4; _TZ3000_nPGIPl5D; _TZ3000_ruxexjfz; _TZ3000_zmlunnhy; lumi.ctrl_ln2; _TZ3000_4xfqlgqo; _TZ3000_excgg5kb; _TZ3000_mlswgkc3; _TZ3000_odygigth; _TZ3000_1obwwnmq; _TZ3000_tygpud44; _TZ3000_vzopcetz; _TZ3000_5bpeda8u; _TZ3000_a7ouggvs; _TZ3000_bi6lpsew; _TZ3000_fvh3pjaz; _TZ3000_s0i14ubi; _TZ3000_vp6clf9d; _TZ3000_xabckq1v; _TZ3000_xrqsdxq6; _TZ3000_yj6k7vfo; _TZ3000_adkvzooy; _TZ3000_b3mgfu0d"
"TS0601",47,YES,"air_quality_pm25; blind_roller_controller; ceiling_fan; climate_monitor; climate_monitor_co2; climate_monitor_temp_humidity; climate_sensor_soil; climate_sensor_temp_humidity_advanced; curtain_motor; curtain_motor_advanced; door_controller; garage_door_controller; gas_detector; gas_sensor; gateway_zigbee_hub; humidity_controller; lock_smart; lock_smart_basic; lock_smart_fingerprint; motion_sensor; motion_sensor_mmwave; motion_sensor_multi; motion_sensor_outdoor; motion_sensor_pir; motion_sensor_pir_advanced; motion_sensor_pir_radar; motion_sensor_radar_advanced; motion_sensor_radar_mmwave; pir_sensor_3in1; presence_sensor_radar; radiator_valve; radiator_valve_smart; shutter_roller_controller; shutter_roller_switch; smoke_detector_climate; solar_panel_controller; sound_controller; temperature_sensor; temperature_sensor_advanced; thermostat_advanced; thermostat_smart; thermostat_temperature_control; water_leak_sensor; water_leak_sensor_temp_humidity; water_valve; water_valve_smart; water_valve_smart_hybrid","_TZE200_5zbp6j0u; _TZE200_cowvfni3; _TZE200_fctwhugx; _TZE200_nogaemzt; _TZE200_xuzcvlku; _TZ3000_ywagc4rj; _TZ3000_zl1kmjqx; _TZE200_7hfcudw5; _TZE200_a8sdabtg; _TZE200_bjawzodf; _TZE200_bq5c8xfe; _TZE200_dwcarsat; _TZE200_locansqn; _TZE200_nw1r9hp6; _TZE200_qoy0ekbd; _TZE200_whpb9yts; _TZE200_zl1kmjqx; lumi.sensor_ht; lumi.weather; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; _TZE200_7bztmfm1; _TZE200_81isopgh; _TZE200_9cxuhakf; _TZE200_azqp6ssj; _TZE200_b6wax7g0; _TZE200_c88teujp; _TZE200_ckud7u2l; _TZE200_cwbvmsar; _TZE200_m9skfctm; _TZE200_rxq4iti9; _TZE200_ryfmq5rl; _TZE200_ye5jkfsb; _TZE200_yvx5lh6k; _TZE200_yw7cahqs; _TZE200_znbl8dj5; _TZ3000_fllyghyj; _TZE200_cirvgep4; _TZE200_vzqtvljm; _TZE204_upagmta9; _TZE284_sgabhwa6; _TZE284_vvmbj46n; _TZ3000_kmh5qpmb; _TZ3000_qomxlryd; _TZE200_c7emyjom; _TZE200_ga1maeof; _TZE200_myd45weu; _TZE200_ycrd8ywq; _TZE204_c7emyjom; _TZE204_myd45weu; _TZE284_oitavov2; _TZ3000_mwd3c2at; _TZ3000_tk3s5tyg; _TZE200_wfxuhoea; _TZE200_ezqy5pvh; _TZE200_ux5v4tgb; _TZE200_yojqa8xn; _TZE200_mgstdyz3; _TZE200_ar0slwnd; _TZ3000_mmtwjmaq; _TZE200_3towulqd; _TZ3000_msl6wxk9; _TZ3000_mcxw5ehu; _TZ3040_bb6xaihh; lumi.motion.ac01; lumi.motion.ac02; lumi.motion.agl04; lumi.sensor_motion; _TZ3000_bsvqrk3b; _TZ3000_hgu1dlak; _TYZB01_qeqvmvti; _TYZB01_tv3wxhcz; lumi.motion.agl02; lumi.sensor_motion.aq2; lumi.sensor_motion.aq2b; _TZE204_qasjif9e; HOBEIAN; _TZE200_ppuj1vem; _TZE200_pay2byax; _TZE200_mrf6vtua; _TZE200_0u3bj3rc; _TZE200_holel4dk; _TZE200_mx6u6l4y; _TZE200_rhgsbacq; _TZE200_sfiy5tfs; _TZE200_v6ossqfy; _TZE204_clrdrnya; _TZE204_mtoaryre; _TZE204_sxm7l9xa; _TZE200_5toc8efa; _TZE200_hue3yfsn; lumi.ctrl_ln1; _TZE200_0dvm9mva; _TZE200_a4bpgplm; _TZE200_aoclfnxz; _TZE200_ztvwu4nk; _TZ3000_kyb656no; _TZE200_qq9mpfhw; _TZ3000_k4ej3ww2; _TZ3000_upgcbody; _TZE200_htnnfasr; _TZE200_sh1btabb; lumi.sensor_wleak; lumi.sensor_wleak.aq1; _TZE200_jthf7vb6"
"TS0002",39,YES,"air_quality_comprehensive; light_controller_outdoor; module_mini; shutter_roller_switch; switch_basic_1gang; switch_basic_5gang; switch_generic_1gang; switch_generic_3gang; switch_hybrid_1gang; switch_hybrid_2gang; switch_hybrid_2gang_alt; switch_hybrid_3gang; switch_internal_1gang; switch_remote; switch_smart_1gang; switch_smart_3gang; switch_smart_4gang; switch_touch_1gang; switch_touch_1gang_basic; switch_touch_2gang; switch_touch_3gang; switch_touch_3gang_basic; switch_touch_4gang; switch_wall_1gang; switch_wall_1gang_basic; switch_wall_2gang; switch_wall_2gang_basic; switch_wall_2gang_smart; switch_wall_3gang; switch_wall_3gang_basic; switch_wall_4gang; switch_wall_4gang_basic; switch_wall_4gang_smart; switch_wall_5gang; switch_wall_6gang; switch_wall_6gang_basic; switch_wall_6gang_smart; switch_wall_8gang_smart; usb_outlet_2port","_TZ3000_01gpyda5; _TZ3000_0dumfk2z; _TZ3000_0ghwhypc; _TZ3000_0ht8dnxj; _TZ3000_0s1izerx; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; _TZ3000_kmh5qpmb; lumi.ctrl_ln1; _TZ3000_4fjiwweb; _TZ3000_4js9lo5d; _TZ3000_fisb3ajo; _TZ3000_ji4araar; _TZ3000_kdi2o9m6; _TZ3000_lupfd8zu; _TZ3000_lvhy15ix; _TZ3000_o005nuxx; _TZ3000_odzoiovu; _TZ3000_qzjcsmar; _TZ3000_rk2yzt0u; _TZ3000_skueekg3; _TZ3000_vjhcenzw; _TZ3000_yw8z2axp; _TZ3000_zmy1waw6; _TZ3000_mgusv51k; _TZ3000_5ucujjts; _TZ3000_mx3vgyea; _TZ3000_npzfdzhq; _TZ3000_o4cjetlm; _TZ3000_tgddllx4; _TZ3000_uxuxkcvd; _TZ3000_w0qqde0g; _TZ3000_yujkchbz; _TZ3000_18ejxno0; _TZ3000_4zf0crgo; _TZ3000_l9brjwau; _TZ3000_lwlhprgx; _TZ3000_neo2aqj4; _TZ3000_nPGIPl5D; _TZ3000_ruxexjfz; _TZ3000_zmlunnhy; lumi.ctrl_ln2; _TZ3000_4xfqlgqo; _TZ3000_excgg5kb; _TZ3000_mlswgkc3; _TZ3000_odygigth; _TZ3000_1obwwnmq; _TZ3000_tygpud44; _TZ3000_vzopcetz; _TZ3000_h1ipgkwn"
"TS0003",36,YES,"air_quality_comprehensive; shutter_roller_switch; switch_basic_1gang; switch_basic_5gang; switch_generic_1gang; switch_generic_3gang; switch_hybrid_1gang; switch_hybrid_2gang; switch_hybrid_2gang_alt; switch_hybrid_3gang; switch_internal_1gang; switch_remote; switch_smart_1gang; switch_smart_3gang; switch_smart_4gang; switch_touch_1gang; switch_touch_1gang_basic; switch_touch_2gang; switch_touch_3gang; switch_touch_3gang_basic; switch_touch_4gang; switch_wall_1gang; switch_wall_1gang_basic; switch_wall_2gang; switch_wall_2gang_basic; switch_wall_2gang_smart; switch_wall_3gang; switch_wall_3gang_basic; switch_wall_4gang; switch_wall_4gang_basic; switch_wall_4gang_smart; switch_wall_5gang; switch_wall_6gang; switch_wall_6gang_basic; switch_wall_6gang_smart; switch_wall_8gang_smart","_TZ3000_01gpyda5; _TZ3000_0dumfk2z; _TZ3000_0ghwhypc; _TZ3000_0ht8dnxj; _TZ3000_0s1izerx; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; lumi.ctrl_ln1; _TZ3000_4fjiwweb; _TZ3000_4js9lo5d; _TZ3000_fisb3ajo; _TZ3000_ji4araar; _TZ3000_kdi2o9m6; _TZ3000_lupfd8zu; _TZ3000_lvhy15ix; _TZ3000_o005nuxx; _TZ3000_odzoiovu; _TZ3000_qzjcsmar; _TZ3000_rk2yzt0u; _TZ3000_skueekg3; _TZ3000_vjhcenzw; _TZ3000_yw8z2axp; _TZ3000_zmy1waw6; _TZ3000_mgusv51k; _TZ3000_5ucujjts; _TZ3000_mx3vgyea; _TZ3000_npzfdzhq; _TZ3000_o4cjetlm; _TZ3000_tgddllx4; _TZ3000_uxuxkcvd; _TZ3000_w0qqde0g; _TZ3000_yujkchbz; _TZ3000_18ejxno0; _TZ3000_4zf0crgo; _TZ3000_l9brjwau; _TZ3000_lwlhprgx; _TZ3000_neo2aqj4; _TZ3000_nPGIPl5D; _TZ3000_ruxexjfz; _TZ3000_zmlunnhy; lumi.ctrl_ln2; _TZ3000_4xfqlgqo; _TZ3000_excgg5kb; _TZ3000_mlswgkc3; _TZ3000_odygigth; _TZ3000_1obwwnmq; _TZ3000_tygpud44; _TZ3000_vzopcetz"
"TS0004",36,YES,"air_quality_comprehensive; shutter_roller_switch; switch_basic_1gang; switch_basic_5gang; switch_generic_1gang; switch_generic_3gang; switch_hybrid_1gang; switch_hybrid_2gang; switch_hybrid_2gang_alt; switch_hybrid_3gang; switch_internal_1gang; switch_remote; switch_smart_1gang; switch_smart_3gang; switch_smart_4gang; switch_touch_1gang; switch_touch_1gang_basic; switch_touch_2gang; switch_touch_3gang; switch_touch_3gang_basic; switch_touch_4gang; switch_wall_1gang; switch_wall_1gang_basic; switch_wall_2gang; switch_wall_2gang_basic; switch_wall_2gang_smart; switch_wall_3gang; switch_wall_3gang_basic; switch_wall_4gang; switch_wall_4gang_basic; switch_wall_4gang_smart; switch_wall_5gang; switch_wall_6gang; switch_wall_6gang_basic; switch_wall_6gang_smart; switch_wall_8gang_smart","_TZ3000_01gpyda5; _TZ3000_0dumfk2z; _TZ3000_0ghwhypc; _TZ3000_0ht8dnxj; _TZ3000_0s1izerx; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; lumi.ctrl_ln1; _TZ3000_4fjiwweb; _TZ3000_4js9lo5d; _TZ3000_fisb3ajo; _TZ3000_ji4araar; _TZ3000_kdi2o9m6; _TZ3000_lupfd8zu; _TZ3000_lvhy15ix; _TZ3000_o005nuxx; _TZ3000_odzoiovu; _TZ3000_qzjcsmar; _TZ3000_rk2yzt0u; _TZ3000_skueekg3; _TZ3000_vjhcenzw; _TZ3000_yw8z2axp; _TZ3000_zmy1waw6; _TZ3000_mgusv51k; _TZ3000_5ucujjts; _TZ3000_mx3vgyea; _TZ3000_npzfdzhq; _TZ3000_o4cjetlm; _TZ3000_tgddllx4; _TZ3000_uxuxkcvd; _TZ3000_w0qqde0g; _TZ3000_yujkchbz; _TZ3000_18ejxno0; _TZ3000_4zf0crgo; _TZ3000_l9brjwau; _TZ3000_lwlhprgx; _TZ3000_neo2aqj4; _TZ3000_nPGIPl5D; _TZ3000_ruxexjfz; _TZ3000_zmlunnhy; lumi.ctrl_ln2; _TZ3000_4xfqlgqo; _TZ3000_excgg5kb; _TZ3000_mlswgkc3; _TZ3000_odygigth; _TZ3000_1obwwnmq; _TZ3000_tygpud44; _TZ3000_vzopcetz"
"TS0005",29,YES,"air_quality_comprehensive; switch_basic_1gang; switch_basic_5gang; switch_generic_1gang; switch_generic_3gang; switch_smart_1gang; switch_smart_3gang; switch_smart_4gang; switch_touch_1gang; switch_touch_1gang_basic; switch_touch_2gang; switch_touch_3gang; switch_touch_3gang_basic; switch_touch_4gang; switch_wall_1gang; switch_wall_1gang_basic; switch_wall_2gang; switch_wall_2gang_basic; switch_wall_2gang_smart; switch_wall_3gang; switch_wall_3gang_basic; switch_wall_4gang; switch_wall_4gang_basic; switch_wall_4gang_smart; switch_wall_5gang; switch_wall_6gang; switch_wall_6gang_basic; switch_wall_6gang_smart; switch_wall_8gang_smart","_TZ3000_01gpyda5; _TZ3000_0dumfk2z; _TZ3000_0ghwhypc; _TZ3000_0ht8dnxj; _TZ3000_0s1izerx; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; _TZ3000_4fjiwweb; _TZ3000_4js9lo5d; _TZ3000_fisb3ajo; _TZ3000_ji4araar; _TZ3000_kdi2o9m6; _TZ3000_lupfd8zu; _TZ3000_lvhy15ix; _TZ3000_o005nuxx; _TZ3000_odzoiovu; _TZ3000_qzjcsmar; _TZ3000_rk2yzt0u; _TZ3000_skueekg3; _TZ3000_vjhcenzw; _TZ3000_yw8z2axp; _TZ3000_zmy1waw6; lumi.ctrl_ln1; _TZ3000_mgusv51k; _TZ3000_5ucujjts; _TZ3000_mx3vgyea; _TZ3000_npzfdzhq; _TZ3000_o4cjetlm; _TZ3000_tgddllx4; _TZ3000_uxuxkcvd; _TZ3000_w0qqde0g; _TZ3000_yujkchbz; _TZ3000_18ejxno0; _TZ3000_4zf0crgo; _TZ3000_l9brjwau; _TZ3000_lwlhprgx; _TZ3000_neo2aqj4; _TZ3000_nPGIPl5D; _TZ3000_ruxexjfz; _TZ3000_zmlunnhy; lumi.ctrl_ln2; _TZ3000_4xfqlgqo; _TZ3000_excgg5kb; _TZ3000_mlswgkc3; _TZ3000_odygigth; _TZ3000_1obwwnmq; _TZ3000_tygpud44; _TZ3000_vzopcetz"
"TS0006",29,YES,"air_quality_comprehensive; switch_basic_1gang; switch_basic_5gang; switch_generic_1gang; switch_generic_3gang; switch_smart_1gang; switch_smart_3gang; switch_smart_4gang; switch_touch_1gang; switch_touch_1gang_basic; switch_touch_2gang; switch_touch_3gang; switch_touch_3gang_basic; switch_touch_4gang; switch_wall_1gang; switch_wall_1gang_basic; switch_wall_2gang; switch_wall_2gang_basic; switch_wall_2gang_smart; switch_wall_3gang; switch_wall_3gang_basic; switch_wall_4gang; switch_wall_4gang_basic; switch_wall_4gang_smart; switch_wall_5gang; switch_wall_6gang; switch_wall_6gang_basic; switch_wall_6gang_smart; switch_wall_8gang_smart","_TZ3000_01gpyda5; _TZ3000_0dumfk2z; _TZ3000_0ghwhypc; _TZ3000_0ht8dnxj; _TZ3000_0s1izerx; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; _TZ3000_4fjiwweb; _TZ3000_4js9lo5d; _TZ3000_fisb3ajo; _TZ3000_ji4araar; _TZ3000_kdi2o9m6; _TZ3000_lupfd8zu; _TZ3000_lvhy15ix; _TZ3000_o005nuxx; _TZ3000_odzoiovu; _TZ3000_qzjcsmar; _TZ3000_rk2yzt0u; _TZ3000_skueekg3; _TZ3000_vjhcenzw; _TZ3000_yw8z2axp; _TZ3000_zmy1waw6; lumi.ctrl_ln1; _TZ3000_mgusv51k; _TZ3000_5ucujjts; _TZ3000_mx3vgyea; _TZ3000_npzfdzhq; _TZ3000_o4cjetlm; _TZ3000_tgddllx4; _TZ3000_uxuxkcvd; _TZ3000_w0qqde0g; _TZ3000_yujkchbz; _TZ3000_18ejxno0; _TZ3000_4zf0crgo; _TZ3000_l9brjwau; _TZ3000_lwlhprgx; _TZ3000_neo2aqj4; _TZ3000_nPGIPl5D; _TZ3000_ruxexjfz; _TZ3000_zmlunnhy; lumi.ctrl_ln2; _TZ3000_4xfqlgqo; _TZ3000_excgg5kb; _TZ3000_mlswgkc3; _TZ3000_odygigth; _TZ3000_1obwwnmq; _TZ3000_tygpud44; _TZ3000_vzopcetz"
"TS0041",27,NO,"air_quality_monitor_advanced; button_emergency_advanced; button_emergency_sos; button_remote_1; button_remote_2; button_remote_3; button_remote_4; button_remote_6; button_remote_8; button_shortcut; button_wireless; button_wireless_1; button_wireless_2; button_wireless_3; button_wireless_4; button_wireless_6; button_wireless_8; doorbell_button; scene_controller_4button; switch_remote; switch_wireless_1gang; switch_wireless_2gang; switch_wireless_4button_alt; switch_wireless_4gang; switch_wireless_5button; switch_wireless_6gang; wall_touch_1gang","_TZ3000_0dumfk2z; _TZ3000_26fmupbb; _TZ3000_4uuaja4a; _TZ3000_8rppvwda; _TZ3000_a7ouggvs; _TZ3000_mmtwjmaq; _TZ3000_kmh5qpmb; _TZ3000_axpdxqgu; _TZ3000_cehuw1lw; _TZ3000_cphmq0q7; _TZ3000_dbou1ap4; _TZ3000_el5kt5im; _TZ3000_eo3dttwe; _TZ3000_f97vq5mn; _TZ3000_fa9mlvja; _TZ3000_fkp5zyho; _TZ3000_fllyghyj; _TZ3000_fsiepnrh; _TZ3000_g5xawfcq; _TZ3000_itb0omhv; _TZ3000_iystcadi; _TZ3000_ji4araar; _TZ3000_mcxw5ehu; _TZ3000_n2egfsli; _TZ3000_obacbukl; _TZ3000_odygigth; _TZ3000_oikiyf3b; _TZ3000_owgcnkrh; _TZ3000_p6ju8myv; _TZ3000_peszejy7; _TZ3000_pzui3skt; _TZ3000_qzjcsmar; _TZ3000_tk3s5tyg; _TZ3000_uim07oem; _TZ3000_vp6clf9d; _TZ3000_wkai4ga5; _TZ3000_xabckq1v; _TZ3000_zsh6uat3; lumi.remote.b186acn01; lumi.remote.b186acn02; lumi.remote.b286acn01; lumi.remote.b286acn02; lumi.remote.b486opcn01; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; _TZ3000_18ejxno0; _TZ3000_1dd0d5yi; _TZ3000_402jjyro; _TZ3000_46t1rvdu; _TZ3000_4rbqgcuv; _TZ3000_4ugnzsli; _TZ3000_6axxqqi2; _TZ3000_6ygjfyll; _TZ3000_7d8yme6f; _TZ3000_8bxrzyxz; _TZ3000_bczr4e10; _TZ3000_bsvqrux3; _TZ3000_dku2cfsc; _TZ3000_ebar5p3z; _TZ3000_h4wnrtck; _TZ3000_hgu1dlak; _TZ3000_hhiodade; _TZ3000_jl7qyupf; _TZ3000_ke_x0oo3; _TZ3000_kjfzuycl; _TZ3000_lf56vpxj; _TZ3000_ltiqubue; _TZ3000_majwnphg; _TZ3000_msl6wxk9; _TZ3000_nnwehhst; _TZ3000_npzfdcof; _TZ3000_o005nuxx; _TZ3000_otvn3lne; _TZ3000_pdevogdj; _TZ3000_qmi1cfuq; _TZ3000_rmjr4ufz; _TZ3000_tqlv4ug4; _TZ3000_vd43bbfq; _TZ3000_vjhcenzo; _TZ3000_wxtp7c5y; _TZ3000_zmy1waw6; _TZ3000_zmy4lslw; lumi.ctrl_ln1; lumi.ctrl_ln2; lumi.ctrl_neutral1; lumi.ctrl_neutral2; _TZ3000_fvh3pjaz; _TZ3000_2mbfxlzr; _TZ3000_arfwfgoa; _TZ3000_bi6lpsew; _TZ3000_bvrlqyj7; _TZ3000_dfgbtub0; _TZ3000_ixla93vd; _TZ3000_4fjiwweb; _TZ3000_abrsvsou; _TZ3000_an5rjiwd; _TZ3000_csflgqj2; _TZ3000_mrpevh8p; _TZ3000_pcqjmcud; _TZ3000_qja6nq5z; _TZ3000_uri7ongn; lumi.remote.b686opcn01; _TZ3000_adkvzooy; _TZ3000_czuyt8lz; _TZ3000_tk3s5tya; _TZ3400_tk3s5tyg; _TZ3000_d0ypg4o2; _TZ3000_fq1sxfrj; _TZ3400_key8kk7r; _TZ3000_rrjr1q0u; _TZ3000_w8jwkczz; _TZ3000_bgtzm4ny; _TZ3000_ee8nrt2l; _TZ3000_5e2f3n2h; _TZ3000_7tbsruql; _TZ3000_8nkb7mof; _TZ3000_9eeavbk5; _TZ3000_9hpxg80k; _TZ3000_a33rw7ou; _TZ3000_aaifmpuq; _TZ3000_ali1q8p0; _TZ3000_au1rjicn; _TZ3000_bffkdmp8; _TZ3000_bmg14ax2; _TZ3000_bn4t9du1; _TZ3000_bpkijo14; _TZ3000_bzxlofth; _TZ3000_cfnprab5; _TZ3000_cymsnfvf; _TZ3000_ddcqbtgs; _TZ3000_decxrtwa; _TZ3000_dlhhrhs8; _TZ3000_dpo1ysak; _TZ3000_dziaict4; _TZ3000_ebar6ljy; _TZ3000_hkcpblrs; _TZ3000_osu834un; _TZ3000_oxslv1c9; _TZ3000_qomxlryd; _TZ3000_rgchmad8; _TZ3000_yxqnffam; _TZ3000_zfmxvprs; _TZ3000_zgrffiwg; lumi.curtain; lumi.curtain.aq2; lumi.curtain.hagl04; _TZ3000_5bpeda8u; _TZ3000_s0i14ubi; _TZ3000_xrqsdxq6; _TZ3000_yj6k7vfo; _TZ3000_b3mgfu0d; _TZ3000_lupfd8zu"
"TS0044",22,NO,"air_quality_monitor_advanced; button_remote_8; button_wireless; button_wireless_1; button_wireless_2; button_wireless_3; button_wireless_4; button_wireless_6; button_wireless_8; scene_controller_wireless; switch_wireless_1gang; switch_wireless_2gang; switch_wireless_4button_alt; switch_wireless_4gang; switch_wireless_5button; switch_wireless_6gang; wall_touch_3gang; wall_touch_4gang; wall_touch_5gang; wall_touch_6gang; wall_touch_7gang; wall_touch_8gang","_TZ3000_26fmupbb; _TZ3000_qzjcsmar; _TZ3000_a7ouggvs; _TZ3000_adkvzooy; _TZ3000_bi6lpsew; _TZ3000_czuyt8lz; _TZ3000_fvh3pjaz; _TZ3000_tk3s5tya; _TZ3000_vp6clf9d; _TZ3000_xabckq1v; _TZ3400_tk3s5tyg; _TZ3000_kqvb5akv; _TZ3000_ww6drja5; _TZ3000_ltt60asa; _TZ3000_akqdg6g7; _TZ3000_d0ypg4o2; _TZ3000_fq1sxfrj; _TZ3400_key8kk7r; _TZ3000_bczr4e10; _TZ3000_rrjr1q0u; _TZ3000_w8jwkczz; _TZ3000_bgtzm4ny; _TZ3000_ee8nrt2l; _TZ3000_pcqjmcud; _TZ3000_tk3s5tyg; _TZ3000_5bpeda8u; _TZ3000_s0i14ubi; _TZ3000_xrqsdxq6; _TZ3000_yj6k7vfo; lumi.ctrl_ln1; _TZ3000_b3mgfu0d; _TZ3000_lupfd8zu; _TZ3000_4fjiwweb; _TZ3000_kjfzuycl"
